doi,battery_chemistry_cathode,manufacturer,form_factor,ambient_temperature_experiments,state_of_charge_mentioned,record_id,paper_title,paper_type,review_notes
10.1016/j.est.2018.09.004,LFP/graphite,A123 Systems,26650 cylindrical cell,"model cases start at 25, 39, and 41 C",0-80% fast-charge window,10.1016/j.est.2018.09.004,Modeling the effect of two-stage fast charging protocol on thermal behavior and charging energy efficiency of lithium-ion batteries,Model,Source: Knowledge DB 3 Markdown. Electrochemical-thermal model with experimental validation using an A123 26650 cell.
10.1016/j.est.2020.101837,multiple Li-ion chemistries (review),multiple / n/a (review),multiple (review),multiple (review),various (review),10.1016/j.est.2020.101837,Challenges and opportunities toward fast-charging of lithium-ion batteries,Review,Source: Knowledge DB 3 Markdown. Review article; values vary across the studies surveyed.
10.1016/j.est.2021.102345,Li-ion electrode system; exact cathode n/s,n/s,electrode-equivalent-circuit formation model,model-based; exact reference temperature n/s,formation over approximately 0-100% SOC,10.1016/j.est.2021.102345,Fast charging lithium-ion battery formation based on simulations with an electrode equivalent circuit model,Computational,Source: Knowledge DB 3 Markdown. Simulation study of formation charging; no single commercial cell supplier clearly disclosed.
10.1016/j.electacta.2023.142761,NCM622/graphite,laboratory-fabricated,CR2032 coin full cells and three-electrode cells,room temperature (exact value n/s),approximately 0-80% fast-charge comparisons,10.1016/j.electacta.2023.142761,Insight into pulse-charging for lithium plating-free fast-charging lithium-ion batteries,"Experimental, Model","Source: Knowledge DB 3 Markdown. Laboratory cells with N/P ratios of 1.0, 1.15, and 1.3; CC and pulse charging compared."
10.1016/j.jpowsour.2021.229772,NCM-LCO composite/graphite,Kokam,"SLPB11543140H5 pouch cell, 5 Ah; six-cell parallel module",room temperature (exact value n/s),approximately 0-100% (3.0-4.2 V),10.1016/j.jpowsour.2021.229772,Minimum lithium plating overpotential control based charging strategy for parallel battery module prevents side reactions,"Experimental, Model",Source: Knowledge DB 3 Markdown. Module validation used six 5 Ah pouch cells in parallel.
10.1016/j.jpowsour.2016.01.096,Li-ion model; chemistry n/s,n/s,model-based cell; form factor n/s,model-based; ambient value n/s,approximately 0-100%,10.1016/j.jpowsour.2016.01.096,Electrochemical model based charge optimization for lithium-ion batteries,Model,Source: Knowledge DB 3 Markdown. Electrochemical-model charge optimization; parsed text does not clearly disclose one validation cell.
10.1016/j.electacta.2023.143341,LFP/graphite,CATL (cell used in Tesla Model 3),"automotive prismatic hardcase cell, 161.5 Ah",25 C,approximately 0-100% for rate testing,10.1016/j.electacta.2023.143341,Cell teardown and characterization of an automotive prismatic LFP battery,Teardown,Source: Knowledge DB 3 Markdown. Teardown and characterization of a Tesla Model 3 Standard Range prismatic cell.
10.1149/1945-7111/ad14d0,NMC811/graphite,Tesla,first-generation cylindrical 4680 cell,25 C for three-electrode tests; cell temperature measured during rate tests,10-90% for HPPC; broader full-cell characterization,10.1149/1945-7111/ad14d0,Lithium-Ion Cells in Automotive Applications: Tesla 4680 Cylindrical Cell Teardown and Characterization,Teardown,Source: Knowledge DB 3 Markdown. Cells originated from a 2022 Tesla Model Y; pure graphite anode was confirmed.
10.3390/batteries9050261,multiple automotive Li-ion chemistries,multiple manufacturers / OEMs,"cylindrical, pouch, and prismatic automotive cells",multiple / dataset-dependent,various / dataset-dependent,10.3390/batteries9050261,Trends in Automotive Battery Cell Design: A Statistical Analysis of Empirical Data,Teardown,Source: Knowledge DB 3 Markdown. Statistical analysis of an automotive-cell database rather than a single-cell experiment.
10.3390/batteries11120450,"multiple: LFP, NMC, NCA, and LCO",multiple,"cylindrical, prismatic, pouch, and blade formats",multiple (review),various (review),10.3390/batteries11120450,Comparative Analysis of Cell Design: Form Factor and Electrode Architectures in Advanced Lithium-Ion Batteries,Teardown,Source: Knowledge DB 3 Markdown. Literature-based comparative review of cell formats and electrode architectures.
10.1149/1945-7111/ac4e11,NMC (approximately NMC651520)/graphite,supplier n/s; cell from Volkswagen ID.3,"large-format stacked pouch cell, 78 Ah",20 C,approximately 0-100% rate characterization,10.1149/1945-7111/ac4e11,State of the Art of Lithium-Ion Pouch Cells in Automotive Applications: Cell Teardown and Characterization,Teardown,Source: Knowledge DB 3 Markdown. Cathode composition lies between NMC622 and NMC811; silicon-free graphite anode.
10.1016/j.xcrp.2025.102453,LFP/graphite and NMC811/graphite,BYD and Tesla,BYD Blade prismatic and Tesla cylindrical 4680 cells,laboratory test temperature n/s,full-range characterization; protocol-dependent,10.1016/j.xcrp.2025.102453,Contrasting a BYD Blade prismatic cell and Tesla 4680 cylindrical cell with a teardown analysis of design and performance,Teardown,Source: Knowledge DB 3 Markdown. Comparative teardown of BYD Blade and Tesla 4680 cells.
10.1016/j.xcrp.2026.103162,"multiple: NMC811, NMC955, and LFP/graphite","multiple: Tesla, BYD, CATL, and others","cylindrical 4680, prismatic, blade, and pouch formats",n/s,n/s,10.1016/j.xcrp.2026.103162,Design and production trade-offs in lithium-ion batteries from cell formats to electric vehicles,Teardown,Source: Knowledge DB 3 Markdown. Design and production comparison across several commercial cell architectures.
10.1007/s00502-020-00814-9,multiple commercial Li-ion chemistries,"LG, Panasonic, Samsung, and Sony",five 21700 and three 18650 cylindrical cells,multiple test temperatures,approximately 0-100%; test-dependent,10.1007/s00502-020-00814-9,"Ante-mortem analysis, electrical, thermal, and ageing testing of state-of-the-art cylindrical lithium-ion cells",Teardown,Source: Knowledge DB 3 Markdown. Benchmark of eight commercial high-energy cylindrical cells.
10.1016/j.apenergy.2023.121945,NCA/graphite,Panasonic,NCR18650B cylindrical 18650 cell,-20 to 15 C,temperature- and protocol-dependent fast-charge windows,10.1016/j.apenergy.2023.121945,Temperature-aware charging strategy for lithium-ion batteries with adaptive current sequences in cold environments,"Experimental, Computational",Source: Knowledge DB 3 Markdown. Cycle and single-charge validation in cold environments.
10.1109/TIE.2021.3121726,Li-ion chemistry n/s,HTC,HTCNR18650 cylindrical cell,25 C,0-100%,10.1109/TIE.2021.3121726,Effect of Pulsed Current on Charging Performance of Lithium-Ion Batteries,Experimental,Source: Knowledge DB 3 Markdown. Pulse-current charging experiments at 1 Hz; exact cathode not clearly disclosed.
10.1016/j.jechem.2023.01.016,NMC523/synthetic graphite,Samsung,"INR18650-20R cylindrical 18650 cell, 2 Ah",25 C,"0-100%, divided into 20% stages; fast charge to 80%",10.1016/j.jechem.2023.01.016,Investigation of multi-step fast charging protocol and aging mechanism for commercial NMC/graphite lithium-ion batteries,Experimental,Source: Knowledge DB 3 Markdown. Commercial cells tested under four aging protocols.
10.3390/app11114918,NCM111/graphite,Samsung SDI,"INR18650-29E cylindrical 18650 cell, 2.85 Ah",26 C,20-50% rapid-charge cycling window,10.3390/app11114918,Effects of Pulse Current Charging on the Aging Performance of Commercial Cylindrical Lithium Ion Batteries,Experimental,Source: Knowledge DB 3 Markdown. Pulse-current and constant-current aging study.
10.1016/j.renene.2020.07.018,NCA/graphite,Panasonic,"NCR18650BD cylindrical 18650 cell, 3.2 Ah",20 C,approximately 0-100%,10.1016/j.renene.2020.07.018,Hybrid charging strategy with adaptive current control of lithium-ion battery for electric vehicles,"Experimental, Computational",Source: Knowledge DB 3 Markdown. Hybrid adaptive-current charging validated on a commercial Panasonic cell.
10.1109/TITS.2020.3006092,Li-ion chemistry n/s,Ryder Electronics / Panasonic core,"cylindrical 18650 cell, measured capacity 2.57 Ah",climate-chamber controlled; exact value n/s,"0-100%, segmented in 5% SOC increments",10.1109/TITS.2020.3006092,Optimization of Variable-Current Charging Strategy Based on SOC Segmentation for Li-ion Battery,"Experimental, Computational",Source: Knowledge DB 3 Markdown. Variable-current charging optimized by SOC segmentation.
10.1016/j.jpowsour.2013.03.157,LiNMC and LFP,n/s,two modeled Li-ion cell types; form factors n/s,temperature sensitivity analyzed; exact baseline n/s,approximately 0-100%,10.1016/j.jpowsour.2013.03.157,Charging time and loss optimization for LiNMC and LiFePO4 batteries based on equivalent circuit models,Computational,Source: Knowledge DB 3 Markdown. Dual-objective charging optimization applied to LiNMC and LiFePO4 battery models.
10.1109/TTE.2020.2977092,NCA/graphite,Panasonic,NCR18650B cylindrical 18650 cell,multiple thermal-chamber temperatures,approximately 0-100%,10.1109/TTE.2020.2977092,Optimal Multistage Charging of NCA/Graphite Lithium-Ion Batteries Based on Electrothermal-Aging Dynamics,"Experimental, Computational",Source: Knowledge DB 3 Markdown. Electrothermal-aging model with experimental parameterization and multistage charging.
10.1007/s00202-023-01937-w,NMC,BAK,"BAK 18650 cylindrical cell, 2.4 Ah",ambient-adaptive constant-temperature tests,10-100%; control regions at 20% and 80%,10.1007/s00202-023-01937-w,Multi-stage constant current–constant voltage under constant temperature (MSCC-CV-CT) charging technique for lithium-ion batteries in light weight electric vehicles (EVs),"Experimental, Computational",Source: Knowledge DB 3 Markdown. MSCC-CV-CT laboratory charging study.
10.20964/2021.04.30,LCO/graphite,LG,commercial cylindrical 18650 cell,room temperature (exact value n/s),0-100%,10.20964/2021.04.30,The Effect of Pulse Charging on Commercial Lithium Cobalt Oxide (LCO) Battery Characteristics,Experimental,Source: Knowledge DB 3 Markdown. Four cells compared under CC-CV and pulse-CV charging.
